tijd,uitwijking,versnelling
0.001,6.86555,137.311
0.027,6.93415,138.683
0.051,6.9513,139.026
0.076,6.93415,138.683
0.101,6.93415,138.683
0.126,6.9513,139.026
0.239,6.7455,134.91
0.26,6.72835,134.567
0.281,6.93415,138.683
0.303,6.9513,139.026
0.326,6.93415,138.683
0.35,6.72835,134.567
0.375,6.72835,134.567
0.458,6.9513,139.026
0.479,6.7455,134.91
0.5,6.7455,134.91
0.523,6.9513,139.026
0.547,6.917,138.34
0.571,6.9513,139.026
0.678,6.7455,134.91
0.699,6.93415,138.683
0.722,6.9513,139.026
0.746,6.93415,138.683
0.771,6.93415,138.683
0.884,6.72835,134.567
0.938,6.93415,138.683
0.9929999,6.917,138.34
1.049,6.93415,138.683
1.115,6.93415,138.683
1.178,6.93415,138.683
1.243,6.93415,138.683
1.308,6.9513,139.026
1.371,6.9513,139.026
1.43,6.93415,138.683
1.492,6.7455,134.91
1.556,6.72835,134.567
1.635,6.9513,139.026
1.8,6.96845,139.369
1.868,6.9513,139.026
1.935,6.7112,134.224
2.001,6.93415,138.683
2.067,6.93415,138.683
2.128,6.7112,134.224
2.19,6.72835,134.567
2.258,6.72835,134.567
2.327,6.72835,134.567
2.405,6.9513,139.026
2.484,6.7455,134.91
2.55,6.9513,139.026
2.617,6.7455,134.91
2.75,6.93415,138.683
2.811,6.93415,138.683
2.874,6.93415,138.683
2.941,6.9513,139.026
3.001,6.7112,134.224
3.062,6.72835,134.567
3.125,6.93415,138.683
3.186,6.917,138.34
3.263,6.72835,134.567
3.337,6.93415,138.683
3.411,6.96845,139.369
3.48,6.93415,138.683
3.549,6.72835,134.567
3.705,6.72835,134.567
3.769,6.9513,139.026
3.829,6.72835,134.567
3.902,6.9513,139.026
3.969,6.7455,134.91
4.04,6.93415,138.683
4.111,6.93415,138.683
4.174,6.93415,138.683
4.24,6.9513,139.026
4.314,6.72835,134.567
4.386,6.9513,139.026
4.461,6.72835,134.567
4.537,6.917,138.34
4.678,6.9513,139.026
4.746,6.7455,134.91
4.807,6.93415,138.683
4.872,6.93415,138.683
4.935,6.93415,138.683
4.999,6.7455,134.91
5.08,6.93415,138.683
